,ERA,HitsAgainst,RunsAgainst,ERAgainst,HRAgainst,BBAgainst,WP,hitbatters,BK,Kspitch,Balls,Strikes,Pitches,BUHAgainst,Ksper9,KtoBB,AVGAgainst,WHIPAllowed,BABIP,LOBperc,FIP,GBtoFB,HRtoFB,RARpitch,WARpitch,WPApitch,Oswingpitch,Zswingpitch,Swingpitch,OContactpitch,Zcontactpitch,Contactpitch,Zonepercentpitch,Fstrikepercentpitch,SwStrpercentpitch,Kpercentpitch,BBpercentpitch,SIERA,RunSupportper9,EminusF,KtoBBpercentpitch,Events,H,1B,2B,3B,HR,R,RBI,BB,Ks,HBP,SF,SH,GDP,SB,CS,AVGbat,Pitchesbat,Ballsbat,Strikesbat,IFH,BU,BUHfor,BBpercentbat,Kpercentbat,BBtoKbat,OBP,SLG,OPS,ISO,BABIPbat,GBtoFBbat,LDpercent,GBpercent,FBpercent,IFFBpercent,HRtoFBbat,IFHpercent,BUHpercentfor,Batting,Fielding,Replacement,Positional,RARbat,WARbat,REW,PH,WPAtoLI,Clutch,Oswingbat,Zswingbat,Swingpercentbat,Ocontactbat,Zcontactbat,Contactpercentbat,Zonepercentagebat,FStrikepercentbat,SwStrpercentbat,EV,LA,Barrels,Barrelpercent,maxEV,Hardhit,Hardhitpercent,Games,Win_Percent
0,4.05,1450.0,713.0,660.0,182.0,500.0,51.0,48.0,3.0,1215.0,8931.0,15321.0,24252.0,18.0,7.46,2.43,0.254,1.33,0.294,73.7,4.21,1.35,12.3,96.4,10.6,2.26,30.4,67.8,47.2,65.5,86.3,78.9,44.8,59.4,9.9,19.4,8.0,4.03,4.42,-0.16,11.4,4494.0,1494.0,1003.0,289.0,48.0,154.0,720.0,680.0,490.0,1312.0,33.0,57.0,46.0,134.0,132.0,44.0,0.264,23333.0,8283.0,15050.0,122.0,111.0,36.0,7.8,20.9,0.37,0.324,0.414,0.738,0.15,0.316,1.53,21.4,47.5,31.1,8.2,11.4,5.9,32.4,-35.8,-0.4,183.5,33.1,203.2,21.6,-0.1,269.0,0.73,-4.95,30.8,64.6,46.2,62.8,87.6,78.6,45.5,62.2,9.8,88.5,10.0,212.0,4.8,116.5,1445.0,32.5,162.0,0.4876543209876543
1,4.41,1462.0,760.0,699.0,170.0,550.0,53.0,53.0,9.0,1148.0,8492.0,14709.0,23201.0,17.0,7.25,2.09,0.263,1.41,0.305,71.4,4.34,1.24,11.3,62.5,7.0,-6.02,29.6,67.6,46.7,67.3,87.5,80.5,45.0,59.3,9.1,18.6,8.9,4.3,3.62,0.07,9.7,4405.0,1361.0,992.0,251.0,18.0,100.0,573.0,548.0,471.0,1107.0,44.0,31.0,67.0,148.0,69.0,33.0,0.251,22644.0,8183.0,14461.0,145.0,118.0,15.0,7.8,18.3,0.43,0.314,0.359,0.674,0.108,0.297,1.7,21.6,49.4,29.0,9.4,8.0,6.8,12.7,-112.8,-10.7,176.4,33.1,93.3,9.9,-10.32,252.0,-9.41,1.51,30.6,65.5,46.2,68.6,88.2,81.0,44.7,60.5,8.7,87.0,8.4,136.0,3.1,112.9,1295.0,29.4,162.0,0.41358024691358025
2,4.05,1406.0,693.0,646.0,174.0,483.0,46.0,54.0,0.0,1233.0,8456.0,15118.0,23574.0,22.0,7.73,2.55,0.253,1.32,0.298,73.6,4.11,1.32,12.0,148.1,15.8,2.93,30.6,66.7,46.8,66.8,86.5,79.4,44.9,60.9,9.6,20.3,7.9,3.94,4.47,-0.06,12.3,4315.0,1370.0,887.0,246.0,20.0,217.0,713.0,686.0,418.0,1331.0,51.0,32.0,20.0,127.0,44.0,25.0,0.25,22912.0,8137.0,14775.0,130.0,57.0,18.0,7.0,22.2,0.31,0.307,0.421,0.728,0.171,0.291,1.18,20.3,43.1,36.6,10.0,14.3,7.3,31.6,-19.0,8.9,175.6,-14.8,166.5,17.7,1.76,88.0,-0.94,-2.14,33.4,69.4,49.2,62.7,85.4,76.8,43.9,61.9,11.4,88.8,12.3,250.0,5.9,114.9,1471.0,35.0,162.0,0.5
3,4.34,1486.0,753.0,698.0,178.0,478.0,79.0,62.0,10.0,1218.0,8789.0,15116.0,23905.0,18.0,7.57,2.55,0.261,1.36,0.305,71.6,4.17,1.26,11.6,107.6,11.8,-0.36,29.8,65.9,46.0,67.0,86.5,79.5,44.7,60.0,9.4,19.6,7.7,4.02,4.65,0.17,11.9,4466.0,1495.0,1007.0,294.0,33.0,161.0,748.0,706.0,478.0,1148.0,46.0,42.0,30.0,127.0,71.0,27.0,0.265,24709.0,8752.0,15957.0,174.0,48.0,8.0,7.7,18.4,0.42,0.325,0.415,0.74,0.149,0.305,1.43,20.2,47.0,32.8,10.0,10.9,8.2,16.7,-7.3,-13.0,182.3,-16.0,169.0,17.9,2.79,72.0,2.9,-5.64,30.6,64.0,45.8,68.9,88.4,81.3,45.5,60.5,8.5,88.5,10.6,202.0,4.4,116.6,1522.0,33.3,162.0,0.48148148148148145
4,3.36,1276.0,608.0,546.0,134.0,407.0,66.0,46.0,3.0,1431.0,8370.0,14949.0,23319.0,20.0,8.81,3.52,0.23,1.15,0.287,72.7,3.3,1.5,10.7,204.9,22.9,12.67,31.4,66.2,46.4,63.0,87.2,77.9,43.0,61.3,10.2,23.9,6.8,3.36,4.24,0.07,17.1,4113.0,1341.0,868.0,272.0,30.0,171.0,689.0,657.0,567.0,1518.0,74.0,35.0,32.0,102.0,95.0,37.0,0.244,24646.0,9152.0,15494.0,115.0,76.0,17.0,9.1,24.5,0.37,0.321,0.398,0.719,0.154,0.305,1.19,20.9,43.0,36.2,9.0,11.9,6.8,22.4,-30.9,25.6,181.2,38.0,239.4,25.4,1.15,287.0,2.46,0.84,29.8,69.4,47.0,58.9,83.7,74.7,43.3,60.0,11.8,88.1,12.8,231.0,5.7,116.2,1350.0,33.4,162.0,0.5987654320987654
5,3.98,1443.0,701.0,643.0,162.0,474.0,61.0,62.0,2.0,1359.0,8486.0,15387.0,23873.0,17.0,8.42,2.87,0.256,1.32,0.311,72.9,3.82,1.34,11.4,160.2,17.4,3.59,31.8,67.0,47.4,62.6,85.8,77.2,44.4,62.1,10.8,22.0,7.7,3.73,3.85,0.16,14.3,4286.0,1381.0,958.0,260.0,27.0,136.0,622.0,595.0,404.0,1231.0,65.0,37.0,30.0,125.0,68.0,42.0,0.25,23140.0,8139.0,15001.0,121.0,68.0,17.0,6.7,20.3,0.33,0.306,0.38,0.686,0.13,0.296,1.61,21.5,48.5,30.0,10.2,10.5,5.8,25.0,-79.0,-6.0,177.4,-15.5,82.5,8.8,-7.56,116.0,-7.95,-0.16,32.2,66.3,47.5,65.9,87.3,79.3,44.8,61.3,9.8,87.8,8.8,158.0,3.6,116.1,1374.0,31.4,162.0,0.4691358024691358
6,4.35,1436.0,754.0,702.0,177.0,544.0,54.0,58.0,11.0,1252.0,8978.0,15246.0,24224.0,22.0,7.75,2.3,0.253,1.36,0.297,71.7,4.24,1.3,12.1,94.9,10.8,-4.64,29.8,67.9,46.6,65.7,86.2,78.9,44.1,58.8,9.8,20.0,8.7,4.07,3.96,0.11,11.3,4417.0,1382.0,931.0,257.0,27.0,167.0,640.0,613.0,496.0,1255.0,42.0,40.0,47.0,112.0,134.0,38.0,0.248,23534.0,8437.0,15097.0,116.0,110.0,25.0,8.0,20.3,0.4,0.312,0.394,0.706,0.146,0.29,1.24,21.5,43.5,35.0,8.8,11.1,6.2,22.7,-63.0,-17.7,181.1,33.8,155.4,16.5,-5.86,262.0,-4.54,-7.39,31.0,69.3,47.8,65.1,87.0,79.0,43.8,62.1,10.0,86.9,11.6,177.0,4.0,111.7,1218.0,27.7,162.0,0.3950617283950617
7,3.68,1274.0,640.0,586.0,161.0,425.0,48.0,48.0,5.0,1407.0,7834.0,14660.0,22494.0,17.0,8.84,3.31,0.235,1.19,0.288,72.8,3.62,1.29,11.7,192.3,21.1,5.99,32.0,68.4,48.6,61.4,86.0,77.1,45.4,62.3,11.1,23.8,7.2,3.48,4.2,0.06,16.6,4024.0,1395.0,922.0,303.0,29.0,141.0,669.0,640.0,533.0,1157.0,39.0,50.0,47.0,134.0,86.0,28.0,0.256,23795.0,8834.0,14961.0,119.0,93.0,24.0,8.7,18.9,0.46,0.325,0.401,0.725,0.144,0.299,1.33,21.5,44.8,33.7,11.1,9.8,6.2,25.8,-23.7,13.0,178.6,-17.5,179.5,19.1,-3.62,137.0,-3.61,-2.14,28.5,65.7,45.1,68.5,88.6,81.6,44.8,59.1,8.3,88.3,11.2,191.0,4.4,112.1,1513.0,34.5,161.0,0.5031055900621118
8,5.04,1579.0,844.0,799.0,183.0,579.0,66.0,48.0,6.0,1112.0,9065.0,14741.0,23806.0,24.0,7.02,1.92,0.278,1.51,0.318,69.9,4.56,1.54,13.2,74.6,8.3,-11.16,29.2,68.3,46.5,64.2,87.3,79.3,44.3,59.1,9.6,17.6,9.2,4.32,4.65,0.48,8.4,4569.0,1479.0,970.0,274.0,49.0,186.0,737.0,702.0,388.0,1283.0,33.0,34.0,44.0,114.0,97.0,43.0,0.265,22661.0,7783.0,14878.0,121.0,91.0,24.0,6.4,21.1,0.3,0.315,0.432,0.748,0.167,0.313,1.31,21.4,44.6,34.0,9.9,12.8,6.3,26.4,-96.6,-36.4,177.5,32.2,91.5,9.7,-3.58,262.0,-3.14,1.21,33.0,69.0,49.5,64.4,85.6,77.9,45.8,61.3,10.8,88.4,10.9,205.0,4.7,117.1,1443.0,33.0,162.0,0.41975308641975306
9,4.64,1491.0,803.0,746.0,193.0,489.0,60.0,46.0,8.0,1100.0,8624.0,15051.0,23675.0,25.0,6.84,2.25,0.264,1.37,0.298,69.7,4.46,1.19,12.0,105.5,11.7,-4.49,30.6,66.0,46.8,67.8,87.4,80.5,45.8,60.2,9.1,17.8,7.9,4.29,4.29,0.18,9.9,4553.0,1515.0,1026.0,289.0,49.0,151.0,689.0,660.0,455.0,1259.0,41.0,35.0,23.0,152.0,83.0,51.0,0.27,23702.0,8399.0,15303.0,112.0,74.0,22.0,7.4,20.4,0.36,0.328,0.42,0.748,0.15,0.322,1.24,22.6,42.8,34.5,8.7,10.1,6.0,29.7,19.0,-16.6,180.0,-15.0,161.1,17.1,-2.28,83.0,-0.12,-1.93,32.4,68.9,48.8,64.6,86.8,78.6,44.8,62.0,10.4,88.4,12.5,241.0,5.5,115.6,1518.0,34.5,161.0,0.45962732919254656
